n_steps: 200000
num_particles: 32
n_y: 64
lr: 0.001
realnvp_architecture: [15, 100]
job: a
200000 32 64 0.001 15 100 a
step 0: loss = 25185.570,
step 1000: loss = 9.288,
step 2000: loss = 12.926,
step 3000: loss = 5.932,
step 4000: loss = 3.922,
step 5000: loss = 2.892,
step 6000: loss = 2.714,
step 7000: loss = 4.969,
step 8000: loss = 18.306,
step 9000: loss = 11.586,
step 10000: loss = 4.521,
step 11000: loss = 3.533,
step 12000: loss = 4.157,
step 13000: loss = 3.535,
step 14000: loss = 3.527,
step 15000: loss = 5.391,
step 16000: loss = 2.032,
step 17000: loss = 2.280,
step 18000: loss = 2.520,
step 19000: loss = 2.365,
step 20000: loss = 3.187,
step 21000: loss = 3.375,
step 22000: loss = 1.549,
step 23000: loss = 2.630,
step 24000: loss = 2.469,
step 25000: loss = 1.315,
step 26000: loss = 1.625,
step 27000: loss = 1.383,
step 28000: loss = 2.537,
step 29000: loss = 1.938,
step 30000: loss = 1.441,
step 31000: loss = 2.127,
step 32000: loss = 1.769,
step 33000: loss = 2.498,
step 34000: loss = 2.062,
step 35000: loss = 1.630,
step 36000: loss = 1.566,
step 37000: loss = 2.237,
step 38000: loss = 1.768,
step 39000: loss = 1.542,
step 40000: loss = 2.158,
step 41000: loss = 1.811,
step 42000: loss = 4.286,
step 43000: loss = 2.942,
step 44000: loss = 1.765,
step 45000: loss = 1.809,
step 46000: loss = 1.446,
step 47000: loss = 1.666,
step 48000: loss = 1.689,
step 49000: loss = 1.854,
step 50000: loss = 1.523,
step 51000: loss = 1.691,
step 52000: loss = 1.736,
step 53000: loss = 1.844,
step 54000: loss = 1.796,
step 55000: loss = 1.330,
step 56000: loss = 2.937,
step 57000: loss = 1.607,
step 58000: loss = 1.360,
step 59000: loss = 2.294,
step 60000: loss = 1.137,
step 61000: loss = 1.821,
step 62000: loss = 2.329,
step 63000: loss = 2.134,
step 64000: loss = 1.423,
step 65000: loss = 1.325,
step 66000: loss = 1.939,
step 67000: loss = 2.519,
step 68000: loss = 1.157,
step 69000: loss = 2.727,
step 70000: loss = 1.518,
step 71000: loss = 1.832,
step 72000: loss = 1.660,
step 73000: loss = 1.470,
step 74000: loss = 1.253,
step 75000: loss = 1.179,
step 76000: loss = 2.038,
step 77000: loss = 1.576,
step 78000: loss = 1.512,
step 79000: loss = 1.961,
step 80000: loss = 2.201,
step 81000: loss = 1.139,
step 82000: loss = 1.446,
step 83000: loss = 2.077,
step 84000: loss = 1.315,
step 85000: loss = 1.416,
step 86000: loss = 1.314,
step 87000: loss = 1.421,
step 88000: loss = 1.328,
step 89000: loss = 1.143,
step 90000: loss = 1.971,
step 91000: loss = 1.147,
step 92000: loss = 1.617,
step 93000: loss = 1.462,
step 94000: loss = 1.510,
step 95000: loss = 2.638,
step 96000: loss = 2.751,
step 97000: loss = 1.753,
step 98000: loss = 1.185,
step 99000: loss = 1.451,
step 100000: loss = 1.406,
step 101000: loss = 1.523,
step 102000: loss = 1.037,
step 103000: loss = 1.299,
step 104000: loss = 1.545,
step 105000: loss = 1.925,
step 106000: loss = 1.336,
step 107000: loss = 0.976,
step 108000: loss = 1.236,
step 109000: loss = 1.241,
step 110000: loss = 1.685,
step 111000: loss = 1.328,
step 112000: loss = 1.174,
step 113000: loss = 1.558,
step 114000: loss = 1.677,
step 115000: loss = 1.635,
step 116000: loss = 1.170,
step 117000: loss = 1.840,
step 118000: loss = 1.633,
step 119000: loss = 1.230,
step 120000: loss = 1.283,
step 121000: loss = 1.274,
step 122000: loss = 7.825,
step 123000: loss = 2.921,
step 124000: loss = 2.332,
step 125000: loss = 2.267,
step 126000: loss = 2.029,
step 127000: loss = 1.650,
step 128000: loss = 9.479,
step 129000: loss = 2.000,
step 130000: loss = 1.753,
step 131000: loss = 2.075,
step 132000: loss = 2.267,
step 133000: loss = 1.601,
step 134000: loss = 1.417,
step 135000: loss = 2.114,
step 136000: loss = 1.136,
step 137000: loss = 2.630,
step 138000: loss = 2.140,
step 139000: loss = 1.851,
step 140000: loss = 1.434,
step 141000: loss = 1.727,
step 142000: loss = 1.437,
step 143000: loss = 1.167,
step 144000: loss = 1.419,
step 145000: loss = 1.244,
step 146000: loss = 2.746,
step 147000: loss = 1.505,
step 148000: loss = 1.354,
step 149000: loss = 1.959,
step 150000: loss = 1.403,
step 151000: loss = 1.593,
step 152000: loss = 1.061,
step 153000: loss = 1.415,
step 154000: loss = 1.579,
step 155000: loss = 1.398,
step 156000: loss = 1.235,
step 157000: loss = 1.260,
step 158000: loss = 1.544,
step 159000: loss = 1.416,
step 160000: loss = 1.435,
step 161000: loss = 1.428,
step 162000: loss = 1.428,
step 163000: loss = 1.875,
step 164000: loss = 1.349,
step 165000: loss = 1.764,
step 166000: loss = 1.615,
